Imaged	Individual	Seg.ID	Seg	Scac	Sp.sum	Stb.sum	Region	Population	Latitude	Longitude	Year	Month
Sep-20	NI54	NI54.10	10	22	32	122	North	Belfast	54.542485	-5.983516	2020	2
Sep-20	NI6	NI6.10	10	23	28	87	North	Belfast	54.542485	-5.983516	2020	2
Sep-20	NI9	NI9.10	10	23	34	83	North	Belfast	54.542485	-5.983516	2020	2
Jan-20	BODF66.9	BODF66.9	9	1	23	103	South-West	Bodmin	50.510722	-4.559354	2019	5
Jan-20	BODF70.9	BODF70.9	9	38	21	75	South-West	Bodmin	50.510722	-4.559354	2019	5
Jan-20	BODF73.9	BODF73.9	9	1	24	75	South-West	Bodmin	50.510722	-4.559354	2019	5
Jan-20	BODF74.9	BODF74.9	9	21	23	100	South-West	Bodmin	50.510722	-4.559354	2019	5
Jan-20	BODF66.10	BODF66.10	10	8	23	108	South-West	Bodmin	50.510722	-4.559354	2019	5
Jan-20	BODF70.10	BODF70.10	10	27	26	93	South-West	Bodmin	50.510722	-4.559354	2019	5
Jan-20	BODF73.10	BODF73.10	10	1	24	97	South-West	Bodmin	50.510722	-4.559354	2019	5
Jan-20	BODF74.10	BODF74.10	10	21	32	104	South-West	Bodmin	50.510722	-4.559354	2019	5
Jan-20	BOSF11.9	BOSF11.9	9	37	35	65	South-West	Boscastle	50.687563	-4.692653	2018	7
Jan-20	BOSF12.9	BOSF12.9	9	37	37	97	South-West	Boscastle	50.687563	-4.692653	2018	7
Jan-20	BOSF13.9	BOSF13.9	9	5	23	89	South-West	Boscastle	50.687563	-4.692653	2018	7
Jan-20	BOSF17.9	BOSF17.9	9	8	27	79	South-West	Boscastle	50.687563	-4.692653	2018	7
Jan-20	BOSF19.9	BOSF19.9	9	3	13	66	South-West	Boscastle	50.687563	-4.692653	2018	7
Jan-20	BOSF19.9	BOSF19.9	9	40	30	77	South-West	Boscastle	50.687563	-4.692653	2018	7
Jan-20	BOSF2.9	BOSF2.9	9	8	32	83	South-West	Boscastle	50.687563	-4.692653	2018	7
Jan-20	BOSF2.9	BOSF2.9	9	35	21	65	South-West	Boscastle	50.687563	-4.692653	2018	7
Jan-20	BOSF3.9	BOSF3.9	9	37	33	73	South-West	Boscastle	50.687563	-4.692653	2018	7
Jan-20	BOSF7.9	BOSF7.9	9	1	27	84	South-West	Boscastle	50.687563	-4.692653	2018	7
Jan-20	BOSF7.9	BOSF7.9	9	41			South-West	Boscastle	50.687563	-4.692653	2018	7
Jan-20	BOSF8.9	BOSF8.9	9	25	27	77	South-West	Boscastle	50.687563	-4.692653	2018	7
Jan-20	BOSF11.10	BOSF11.10	10	14	30	81	South-West	Boscastle	50.687563	-4.692653	2018	7
Jan-20	BOSF12.10	BOSF12.10	10	22	35	110	South-West	Boscastle	50.687563	-4.692653	2018	7
Jan-20	BOSF13.10	BOSF13.10	10	3	43	99	South-West	Boscastle	50.687563	-4.692653	2018	7
Jan-20	BOSF17.10	BOSF17.10	10	6	35	82	South-West	Boscastle	50.687563	-4.692653	2018	7
Jan-20	BOSF19.10	BOSF19.10	10	0	32	77	South-West	Boscastle	50.687563	-4.692653	2018	7
Jan-20	BOSF19.10	BOSF19.10	10	25	7	71	South-West	Boscastle	50.687563	-4.692653	2018	7
Jan-20	BOSF2.10	BOSF2.10	10	4	31	85	South-West	Boscastle	50.687563	-4.692653	2018	7
Jan-20	BOSF2.10	BOSF2.10	10	20	34	70	South-West	Boscastle	50.687563	-4.692653	2018	7
Jan-20	BOSF3.10	BOSF3.10	10	17	28	84	South-West	Boscastle	50.687563	-4.692653	2018	7
Jan-20	BOSF7.10	BOSF7.10	10	9	39	76	South-West	Boscastle	50.687563	-4.692653	2018	7
Jan-20	BOSF7.10	BOSF7.10	10	5	45	133	South-West	Boscastle	50.687563	-4.692653	2018	7
Jan-20	BOSF8.10	BOSF8.10	10	25	39	92	South-West	Boscastle	50.687563	-4.692653	2018	7
Jan-20	MDF14.9	MDF14.9	9	37	27	72	Scotland	Migdale	57.886291	-4.248497	2018	6
Jan-20	MDF14.9	MDF14.9	9	46	23	58	Scotland	Migdale	57.886291	-4.248497	2018	6
Jan-20	MDF17.9	MDF17.9	9	23	22	73	Scotland	Migdale	57.886291	-4.248497	2018	6
Jan-20	MDF19.9	MDF19.9	9	34	26	65	Scotland	Migdale	57.886291	-4.248497	2018	6
Jan-20	MDF19.9	MDF19.9	9	34	23	65	Scotland	Migdale	57.886291	-4.248497	2018	6
Jan-20	MDF2.2.9	MDF2.2.9	9	45	26	69	Scotland	Migdale	57.886291	-4.248497	2018	6
Jan-20	MDF2.9	MDF2.9	9	13	29	82	Scotland	Migdale	57.886291	-4.248497	2018	6
Jan-20	MDF23.9	MDF23.9	9	37	26	92	Scotland	Migdale	57.886291	-4.248497	2018	6
Jan-20	MDF23.9	MDF23.9	9	4	17	78	Scotland	Migdale	57.886291	-4.248497	2018	6
Jan-20	MDF24.9	MDF24.9	9	37	30	76	Scotland	Migdale	57.886291	-4.248497	2018	6
Jan-20	MDF25.9	MDF25.9	9	34	15	75	Scotland	Migdale	57.886291	-4.248497	2018	6
Jan-20	MDF25.9	MDF25.9	9	33	13	51	Scotland	Migdale	57.886291	-4.248497	2018	6
Jan-20	MDF36.9	MDF36.9	9	37	28	74	Scotland	Migdale	57.886291	-4.248497	2018	6
Jan-20	MDF36.9	MDF36.9	9	16	25	102	Scotland	Migdale	57.886291	-4.248497	2018	6
Jan-20	MDF37.9	MDF37.9	9	34	36	112	Scotland	Migdale	57.886291	-4.248497	2018	6
Jan-20	MDF14.10	MDF14.10	10	26	34	89	Scotland	Migdale	57.886291	-4.248497	2018	6
Jan-20	MDF14.10	MDF14.10	10	19	27	86	Scotland	Migdale	57.886291	-4.248497	2018	6
Jan-20	MDF17.10	MDF17.10	10	14	23	87	Scotland	Migdale	57.886291	-4.248497	2018	6
Jan-20	MDF19.10	MDF19.10	10	23	28	95	Scotland	Migdale	57.886291	-4.248497	2018	6
Jan-20	MDF19.10	MDF19.10	10	25	29	85	Scotland	Migdale	57.886291	-4.248497	2018	6
Jan-20	MDF2.10	MDF2.10	10	16	38	98	Scotland	Migdale	57.886291	-4.248497	2018	6
Jan-20	MDF2.2.10	MDF2.2.10	10	27	29	96	Scotland	Migdale	57.886291	-4.248497	2018	6
Jan-20	MDF23.10	MDF23.10	10	21	40	91	Scotland	Migdale	57.886291	-4.248497	2018	6
Jan-20	MDF23.10	MDF23.10	10	5	31	124	Scotland	Migdale	57.886291	-4.248497	2018	6
Jan-20	MDF24.10	MDF24.10	10	26	30	86	Scotland	Migdale	57.886291	-4.248497	2018	6
Jan-20	MDF25.10	MDF25.10	10	21	33	86	Scotland	Migdale	57.886291	-4.248497	2018	6
Jan-20	MDF25.10	MDF25.10	10	7	26	89	Scotland	Migdale	57.886291	-4.248497	2018	6
Jan-20	MDF36.10	MDF36.10	10	29	30	114	Scotland	Migdale	57.886291	-4.248497	2018	6
Jan-20	MDF36.10	MDF36.10	10	5	27	94	Scotland	Migdale	57.886291	-4.248497	2018	6
Jan-20	MDF37.10	MDF37.10	10	26	30	85	Scotland	Migdale	57.886291	-4.248497	2018	6
